pygame 2.5.2 (SDL 2.28.2, Python 3.11.8)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5326381 function calls (5320367 primitive calls) in 124.085 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1208    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1156(set_data)
     1326    0.000    0.000    0.000    0.000 _parser.py:176(append)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
      437    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      6/2    0.000    0.000    0.000    0.000 pyparsing.py:4183(streamline)
        9    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 timeouts.py:1(<module>)
       16    0.000    0.000    0.000    0.000 __init__.py:1967(find_distributions)
       82    0.000    0.000    0.000    0.000 pyparsing.py:3719(__init__)
       71    0.000    0.000    0.000    0.000 typing.py:1265(__init__)
      335    0.000    0.000    0.000    0.000 pyparsing.py:1144(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:2992(_reload_version)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2268(_IPv6Constants)
     1193    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1276(IPv4Address)
        4    0.000    0.000    0.000    0.000 ssl.py:461(__new__)
        4    0.000    0.000    0.000    0.000 __init__.py:2783(_get_version)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       23    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       48    0.000    0.000    0.000    0.000 pyparsing.py:1948(__or__)
        4    0.000    0.000    0.000    0.000 __init__.py:2561(_version_from_file)
      322    0.000    0.000    0.000    0.000 enum.py:826(__setattr__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2192(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       29    0.000    0.000    0.000    0.000 __init__.py:1401(has_metadata)
        2    0.000    0.000    0.000    0.000 __init__.py:1123(resource_exists)
       16    0.000    0.000    0.000    0.000 typing.py:1570(__getitem__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:344(get_provider)
       16    0.000    0.000    0.000    0.000 pkgutil.py:407(get_importer)
      546    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _manylinux.py:1(<module>)
     3595    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 pyparsing.py:3540(__init__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       37    0.000    0.000    0.000    0.000 __init__.py:1477(_fn)
      102    0.000    0.000    0.000    0.000 typing.py:701(<genexpr>)
     2883    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pygameGui.py:31(__init__)
       54    0.000    0.000    0.000    0.000 __init__.py:675(add)
      558    0.000    0.000    0.000    0.000 typing.py:1252(_is_dunder)
       52    0.000    0.000    0.000    0.000 enum.py:365(__setitem__)
       54    0.000    0.000    0.000    0.000 __init__.py:1309(safe_name)
      248    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1542(_IPv4Constants)
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
      158    0.000    0.000    0.000    0.000 _parser.py:316(_class_escape)
